City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bud,US,2021-02-04 15:58:27,39.447,-86.1758,34.0,80,94,14.61
67,Tuktoyaktuk,CA,2021-02-04 15:58:27,69.4541,-133.0374,-38.2,67,1,11.5
68,Mount Gambier,AU,2021-02-04 15:58:27,-37.8333,140.7667,62.6,82,90,12.66
69,Almaznyy,RU,2021-02-04 15:58:27,48.0448,40.045,48.2,100,75,11.18
70,Metro,ID,2021-02-04 15:58:28,-5.1131,105.3067,74.41,94,99,11.14
71,Crotone,IT,2021-02-04 15:58:28,39.0851,17.1178,62.6,67,0,5.75
72,Albany,US,2021-02-04 15:54:44,42.6001,-73.9662,33.01,56,4,10.0
73,Damara,CF,2021-02-04 15:58:28,4.9608,18.7035,91.4,35,0,3.44
74,Abu Samrah,SY,2021-02-04 15:58:28,35.3029,37.1841,55.42,63,100,8.37
75,Provideniya,RU,2021-02-04 15:58:28,64.3833,-173.3,-11.56,86,98,25.43
76,Punta Arenas,CL,2021-02-04 15:58:14,-53.15,-70.9167,64.4,42,20,35.68
77,Toyooka,JP,2021-02-04 15:58:28,35.5333,134.8333,38.73,74,93,4.21
78,Vaini,TO,2021-02-04 15:58:29,-21.2,-175.2,77.0,100,75,3.44
79,Saint George,US,2021-02-04 15:57:30,37.1041,-113.5841,43.0,56,1,11.5
80,Altensteig,DE,2021-02-04 15:58:29,48.5833,8.6,50.0,74,99,2.73
81,Malanje,AO,2021-02-04 15:58:29,-9.5402,16.341,76.78,79,8,1.39
82,Arraial Do Cabo,BR,2021-02-04 15:58:30,-22.9661,-42.0278,93.2,51,0,19.57
83,Mar Del Plata,AR,2021-02-04 15:58:30,-38.0023,-57.5575,75.2,35,0,14.97
84,Ribeira Grande,PT,2021-02-04 15:58:30,38.5167,-28.7,55.4,62,40,8.05
85,Souillac,MU,2021-02-04 15:58:30,-20.5167,57.5167,82.4,69,40,12.66
86,Kaitangata,NZ,2021-02-04 15:58:30,-46.2817,169.8464,50.0,77,0,1.99
87,Coruripe,BR,2021-02-04 15:58:30,-10.1256,-36.1756,86.04,59,86,13.58
88,Vao,NC,2021-02-04 15:58:30,-22.6667,167.4833,78.51,86,4,20.11
89,Crawfordsville,US,2021-02-04 15:58:31,40.0411,-86.8745,32.0,69,40,13.8
90,Te Anau,NZ,2021-02-04 15:58:31,-45.4167,167.7167,48.07,87,1,0.76
91,Pangoa,PE,2021-02-04 15:58:31,-12.1167,-73.0,86.31,48,94,4.63
92,Mataura,NZ,2021-02-04 15:58:31,-46.1927,168.8643,41.18,91,48,3.22
93,Tasiilaq,GL,2021-02-04 15:58:31,65.6145,-37.6368,24.8,80,75,21.85
94,Vuktyl,RU,2021-02-04 15:58:32,63.8567,57.3094,6.22,93,98,3.44
95,Kuala Perlis,MY,2021-02-04 15:58:32,6.4,100.1333,82.4,69,20,3.44
96,Kavieng,PG,2021-02-04 15:58:32,-2.5744,150.7967,82.71,73,100,6.26
97,Finschhafen,PG,2021-02-04 15:58:32,-6.6024,147.8681,81.09,79,100,8.32
98,Siverek,TR,2021-02-04 15:58:32,37.755,39.3167,51.8,66,40,5.75
99,San Ramon De La Nueva Oran,AR,2021-02-04 15:58:32,-23.1322,-64.326,86.0,53,57,2.55
100,Labuhan,ID,2021-02-04 15:58:32,-6.8844,112.2051,79.25,85,96,15.3
101,Umm Kaddadah,SD,2021-02-04 15:58:33,13.6017,26.6876,78.71,17,100,13.15
102,Hilo,US,2021-02-04 15:58:02,19.7297,-155.09,66.2,72,40,3.44
103,Carnarvon,AU,2021-02-04 15:55:01,-24.8667,113.6333,79.09,85,100,19.84
104,Galle,LK,2021-02-04 15:58:33,6.0367,80.217,79.21,79,99,4.0
105,Barrow,US,2021-02-04 15:58:33,71.2906,-156.7887,-27.4,75,1,16.11
106,Osa,RU,2021-02-04 15:58:33,57.2829,55.4567,21.79,98,94,5.21
107,Bambous Virieux,MU,2021-02-04 15:58:34,-20.3428,57.7575,82.4,69,40,12.66
108,Chabahar,IR,2021-02-04 15:58:34,25.2919,60.643,69.94,59,0,7.07
109,Tura,IN,2021-02-04 15:58:34,25.5198,90.2201,63.68,49,0,3.62
110,Padang,ID,2021-02-04 15:58:34,-0.9492,100.3543,78.8,89,40,1.14
111,Cabinda,AO,2021-02-04 15:58:34,-5.55,12.2,86.0,79,20,9.22
112,Cidreira,BR,2021-02-04 15:58:35,-30.1811,-50.2056,78.33,62,74,18.92
113,Longyearbyen,SJ,2021-02-04 15:58:35,78.2186,15.6401,19.4,58,40,19.57
114,Dongsheng,CN,2021-02-04 15:58:35,39.8161,109.9776,26.35,75,19,18.88
115,Thompson,CA,2021-02-04 15:58:35,55.7435,-97.8558,-11.2,77,90,9.22
116,Flinders,AU,2021-02-04 15:56:26,-34.5833,150.8552,72.0,85,53,1.99
117,Canita,PA,2021-02-04 15:58:35,9.2097,-78.8811,86.0,61,40,18.41
118,Narsaq,GL,2021-02-04 15:58:35,60.9167,-46.05,12.2,52,20,3.44
119,Sao Joao Da Barra,BR,2021-02-04 15:57:02,-21.6403,-41.0511,89.6,48,20,11.5
120,Yuci,CN,2021-02-04 15:58:36,37.6803,112.7319,28.4,37,0,2.24
121,Lebu,CL,2021-02-04 15:58:36,-37.6167,-73.65,71.78,49,0,6.93
122,Pizhanka,RU,2021-02-04 15:58:36,57.4604,48.542,32.88,97,100,9.48
123,Krasnosilka,UA,2021-02-04 15:58:36,46.6226,30.7742,39.2,100,0,4.47
