City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Vila Do Maio,CV,73.4,broken clouds,15.1333,-23.2167,Residence 'I Delfini'
225,Cazzago San Martino,IT,51.01,overcast clouds,45.5938,10.0419,Villa Pasini B&B
226,Huilong,CN,51.01,light rain,31.8111,121.655,Hilton Garden Inn Qidong
233,Wanning,CN,69.28,scattered clouds,18.8003,110.3967,Paradise Hotel
234,Awjilah,LY,70.52,broken clouds,29.1081,21.2869,
236,Dunedin,NZ,57.99,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
237,Los Llanos De Aridane,ES,66.2,broken clouds,28.6585,-17.9182,Valle Aridane
238,Saint-Francois,FR,44.6,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
239,Shreveport,US,44.6,overcast clouds,32.5251,-93.7502,Eldorado Resort Casino Shreveport
240,Seydisehir,TR,47.71,broken clouds,37.4193,31.8453,Otel KüçükKonak
241,Sao Filipe,CV,71.33,broken clouds,14.8961,-24.4956,Tortuga B&B
243,Rongcheng,CN,50.7,light rain,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
251,Callaway,US,51.01,light intensity drizzle,30.153000000000002,-85.5699,Holiday Inn Express & Suites Panama City-Tyndall
252,Plettenberg Bay,ZA,66.31,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
255,Maun,BW,73.4,broken clouds,-19.9833,23.4167,Enviro Villa
256,Cervo,ES,55.0,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
259,Nabinagar,BD,68.0,haze,23.8917,90.9733,ওমান হাউজ
263,Pecsvarad,HU,48.2,overcast clouds,46.1603,18.4232,Zengőszív Jurtafalu
267,Mangrol,IN,71.2,clear sky,21.1167,70.1167,Hotel The Royal Honours
268,Shangrao,CN,60.44,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
271,Kahului,US,64.0,few clouds,20.8947,-156.47,Maui Seaside Hotel
274,Longyan,CN,58.33,clear sky,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
275,Mahdasht,IR,42.8,mist,35.7299,50.8111,مشاور املاک مهدی
276,Bansko,BG,46.22,overcast clouds,41.8383,23.4885,Хотел Свети Георги Ски и Холидей
277,Ponta Delgada,PT,60.8,broken clouds,37.7333,-25.6667,Vila Nova Hotel
279,Pacifica,US,52.0,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
280,Swan Hill,AU,58.41,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
284,Catalina Foothills,US,57.99,clear sky,32.2979,-110.9187,The Westin La Paloma Resort & Spa
287,Denizli,TR,57.2,clear sky,37.8402,29.0698,Anemon Denizli Hotel
288,Evora,PT,51.8,broken clouds,38.5667,-7.9,Hotel M'Ar de Ar Muralhas
289,Victoria,HK,68.0,clear sky,22.2855,114.1577,Mini Hotel Central
290,Terrell,US,43.0,overcast clouds,32.736,-96.2753,Holiday Inn Express & Suites Terrell
299,Cape Town,ZA,71.6,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
302,New Norfolk,AU,55.4,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
303,Bandipur,NP,46.22,clear sky,27.9333,84.4167,Bandipur Guest House
307,Sacramento,US,44.01,mist,38.4666,-121.3177,SkyNet
308,San Quintin,MX,61.57,clear sky,30.4833,-115.95,Old Mill Hotel
324,Coihaique,CL,66.2,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
330,Sayat,TM,50.0,clear sky,38.7839,63.8803,
337,Shimoda,JP,42.01,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
340,Khudumelapye,BW,67.41,overcast clouds,-23.8833,24.75,
343,Puri,IN,71.6,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
347,Ginir,ET,65.64,broken clouds,7.1333,40.7,Sura Dare Village
348,Ha Giang,VN,68.59,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
350,Chicama,PE,71.6,light rain,-7.8447,-79.1469,Hospedaje Punta Cana PERU
354,Ahipara,NZ,59.85,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
357,Otane,NZ,54.0,scattered clouds,-39.8833,176.6333,Ludlow Farmstay
365,La Rioja,ES,50.0,broken clouds,42.25,-2.5,Casa Concejos
367,Santa Apolonia,GT,73.4,clear sky,14.7914,-90.9708,Paseo Xejasmin - Restaurante y Hotel
372,Taltal,CL,69.58,few clouds,-25.4,-70.4833,Residencial Karime
374,Kalur Kot,PK,59.36,clear sky,32.1564,71.2594,CHAAND STREET
375,Nanakuli,US,62.01,broken clouds,21.3906,-158.1547,Camp Pālehua
376,Sucre,BO,66.96,broken clouds,-19.0333,-65.2627,Hostal CasArte Takubamba
391,Pachino,IT,64.4,broken clouds,36.7186,15.0907,Il Veliero
395,Denia,ES,62.01,scattered clouds,38.8408,0.1057,Hotel Port Dénia
398,Along,IN,54.18,clear sky,28.1667,94.7667,Hotel West
400,Eureka,US,46.0,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
402,Meghri,AM,46.81,clear sky,38.9029,46.2446,Haer B&B
405,Olbia,IT,53.6,broken clouds,40.9214,9.4856,Hotel Maxim
408,Mingguang,CN,42.49,overcast clouds,32.7802,117.9638,Yonghao Hotel
410,Te Anau,NZ,54.21,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
414,Hanmer Springs,NZ,55.49,clear sky,-42.5167,172.8167,The Chalets Motel
416,Bohl-Iggelheim,DE,45.0,light rain,49.3806,8.3039,Pälzer Buwe
